# Time, p, Ux, Uy, Uz, e
2.202110000000000165e-05 7.555435999999999840e-07 1.006088000000000002e-07 1.368552000000000039e-04 6.634721000000000135e-06 3.672679000000000061e-06
2.219429999999999857e-05 7.505694999999999633e-07 1.001108999999999968e-07 1.413137000000000019e-04 6.658495999999999751e-06 3.620621000000000059e-06
2.236749999999999887e-05 7.458244999999999562e-07 9.991185999999999665e-08 1.465890000000000021e-04 6.681959000000000071e-06 3.572031000000000072e-06
2.254059999999999896e-05 7.409499999999999744e-07 9.939456999999999956e-08 1.519830999999999916e-04 6.702714000000000180e-06 3.517551999999999945e-06
2.271369999999999905e-05 7.359158000000000523e-07 9.917296999999999445e-08 1.577906999999999867e-04 6.723463999999999939e-06 3.465040999999999932e-06
2.288669999999999892e-05 7.306155000000000481e-07 9.864404000000000588e-08 1.635243999999999890e-04 6.744033999999999812e-06 3.407228000000000101e-06
2.305969999999999879e-05 7.252992999999999651e-07 9.839316999999999431e-08 1.706203000000000103e-04 6.769213000000000067e-06 3.352082999999999802e-06
2.323269999999999865e-05 7.198518000000000482e-07 9.785490000000000626e-08 1.783689999999999993e-04 6.796684000000000061e-06 3.292135999999999933e-06
2.340560000000000169e-05 7.142713999999999991e-07 9.757958000000000271e-08 1.877553000000000013e-04 6.827577000000000072e-06 3.234548999999999988e-06
2.357840000000000112e-05 7.084691999999999473e-07 9.704867000000000501e-08 1.983607999999999932e-04 6.858682000000000006e-06 3.173402000000000030e-06
2.375120000000000055e-05 7.027506000000000221e-07 9.676886000000000616e-08 2.114565999999999907e-04 6.891934999999999939e-06 3.116617000000000200e-06
2.392389999999999976e-05 6.969976999999999759e-07 9.625730000000000260e-08 2.258813000000000086e-04 6.925352000000000165e-06 3.057318999999999823e-06
2.409659999999999897e-05 6.912267000000000230e-07 9.600239000000000022e-08 2.427907999999999998e-04 6.964395999999999651e-06 3.001780000000000083e-06
2.426920000000000135e-05 6.853082000000000220e-07 9.553999999999999392e-08 2.623419999999999897e-04 7.005567000000000040e-06 2.943970000000000123e-06
2.444170000000000012e-05 6.791595999999999798e-07 9.528561999999999505e-08 2.863877000000000024e-04 7.049621000000000178e-06 2.888718999999999862e-06
2.461419999999999889e-05 6.730696000000000093e-07 9.485831999999999757e-08 3.154950999999999806e-04 7.096014000000000294e-06 2.832493999999999820e-06
2.478670000000000105e-05 6.669700000000000491e-07 9.463244000000000455e-08 3.544546999999999997e-04 7.145368999999999587e-06 2.779896999999999974e-06
2.495909999999999961e-05 6.614176000000000317e-07 9.422086000000000213e-08 4.030077999999999872e-04 7.195215999999999755e-06 2.727866000000000082e-06
2.513140000000000133e-05 6.560565999999999614e-07 9.400391000000000362e-08 4.691014000000000078e-04 7.249095000000000260e-06 2.678289999999999983e-06
2.530359999999999944e-05 6.505342999999999703e-07 9.361684999999999565e-08 5.576895999999999807e-04 7.303683000000000220e-06 2.627025999999999876e-06
2.547570000000000073e-05 6.448893000000000015e-07 9.339924999999999508e-08 6.857105999999999531e-04 7.360741000000000174e-06 2.577704000000000011e-06
2.564779999999999862e-05 6.393436000000000420e-07 9.303611000000000206e-08 8.678063999999999657e-04 7.418960000000000200e-06 2.528470000000000035e-06
2.581979999999999968e-05 6.339039000000000439e-07 9.290267999999999873e-08 1.176994999999999908e-03 7.480370000000000007e-06 2.481527999999999799e-06
2.599170000000000053e-05 6.283558999999999998e-07 9.265322000000000650e-08 1.835005000000000013e-03 7.542439000000000005e-06 2.434068000000000088e-06
